GOOGL
DLTR
TWTR
MNST
CA
CSCO
NTES
AMZN
HSIC
QVCA
SHPG
GOOG
CERN
LBTYK
ESRX
GILD
TMUS
ROST
VRTX
JD
SBAC
SBUX
WDC
CHTR
ILMN
XRAY
FB
LBTYA
STX
CTXS
ADP
AAPL
ADI
CMCSA
SYMC
AAL
REGN
ADSK
TXN
BIIB
NCLH
FAST
MU
TSLA
LVNTA
AKAM
MYL
EA
NVDA
NFLX
